wine_name,vintage_name,vintage_year,wine_ratings_average,wine_ratings_count,vintage_ratings_average,vintage_rating_count,liter_price_euros,in_top_list,country,popularity_score,value_for_money,popularity_rank,value_rank,combined_rank
Barolo Sorì Ginestra,Conterno Fantino Barolo Sorì Ginestra 2008,2008,4.3,4827,4.4,262,361.6666666666667,0,Italie,36.472515873340114,0.011889400921658985,1052.0,1032.0,1042.0
Château Margaux (Premier Grand Cru Classé),Château Margaux Château Margaux (Premier Grand Cru Classé) 2009,2009,4.6,45350,4.7,594,1423.3333333333333,0,France,49.3219610954991,0.0032318501170960187,118.0,1838.0,978.0
Collection,Krug Collection 1995,1995,4.7,2184,4.6,138,2705.0,0,France,36.13789268326454,0.0017375231053604436,1087.0,1997.0,1542.0
Colheita Port,Burmester Colheita Port 1975,1975,4.2,8039,4.5,302,197.0933333333333,0,Portugal,37.766651900577436,0.02130970098768773,925.0,625.0,775.0
Bolgheri Superiore,Grattamacco Bolgheri Superiore 2005,2005,4.3,14242,4.4,164,388.3333333333333,0,Italie,41.1249876855309,0.011072961373390557,619.0,1089.0,854.0
Amarone della Valpolicella Monte Lodoletta,Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 2008,2008,4.7,7947,4.7,966,930.0,1,Italie,42.20858395631885,0.005053763440860215,533.0,1587.0,1060.0
Pomerol,Château Trotanoy Pomerol 2005,2005,4.4,7221,4.5,325,996.6666666666669,0,France,39.092894396385205,0.004414715719063544,775.0,1677.0,1226.0
Châteauneuf-du-Pape,Château de Beaucastel Châteauneuf-du-Pape 2009,2009,4.4,38998,4.4,2403,413.3333333333333,0,France,46.513568823680345,0.010645161290322582,262.0,1108.0,685.0
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,Salon Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne 1996,1996,4.7,9564,4.8,1004,3843.3333333333335,1,France,43.079078244317614,0.001222896790980052,487.0,2050.0,1268.5
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,Salon Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne 1996,1996,4.7,9564,4.8,1004,3843.3333333333335,1,France,43.079078244317614,0.001222896790980052,487.0,2050.0,1268.5
